customer_id,total_revenue,avg_monthly_revenue,months_active,churned,contract,engagement_score,segment,segment_name
0002-ORFBO,590.4,65.6,9,0,One year,Medium,1,At-Risk Loyalists
0003-MKNFE,539.1,59.900000000000006,9,0,Month-to-month,Medium,1,At-Risk Loyalists
0004-TLHLJ,295.6,73.9,4,1,Month-to-month,High,1,At-Risk Loyalists
0011-IGKFF,1274.0,98.0,13,1,Month-to-month,High,1,At-Risk Loyalists
0013-EXCHZ,251.70000000000002,83.9,3,1,Month-to-month,High,1,At-Risk Loyalists
0013-MHZWF,624.6,69.4,9,0,Month-to-month,Medium,1,At-Risk Loyalists
0013-SMEOE,7788.7,109.7,71,0,Two year,High,3,New & Unstable
0014-BMAQU,5332.950000000001,84.65,63,0,Two year,High,3,New & Unstable
0015-UOCOJ,337.40000000000003,48.2,7,0,Month-to-month,Medium,0,Champions
0016-QLJIS,5879.25,90.45,65,0,Two year,High,3,New & Unstable
0017-DINOC,2440.8,45.2,54,0,Two year,Medium,2,Price-Sensitive
0017-IUDMW,8409.6,116.80000000000001,72,0,Two year,High,3,New & Unstable
0018-NYROU,344.75,68.95,5,0,Month-to-month,Medium,1,At-Risk Loyalists
0019-EFAEP,7293.599999999999,101.3,72,0,Two year,High,3,New & Unstable
0019-GFNTW,2522.7999999999997,45.05,56,0,Two year,Medium,2,Price-Sensitive
0020-INWCK,6798.25,95.75,71,0,Two year,High,3,New & Unstable
0020-JDNXP,2082.5,61.25,34,0,One year,Medium,1,At-Risk Loyalists
0021-IKXGC,72.1,72.1,1,0,Month-to-month,High,1,At-Risk Loyalists
0022-TCJCI,2821.5,62.7,45,1,One year,Medium,2,Price-Sensitive
0023-HGHWL,25.1,25.1,1,1,Month-to-month,Low,0,Champions
0023-UYUPN,1260.0,25.2,50,0,One year,Low,2,Price-Sensitive
0023-XUOPT,1223.3,94.1,13,1,Month-to-month,High,1,At-Risk Loyalists
0027-KWYKW,1926.25,83.75,23,0,Month-to-month,High,1,At-Risk Loyalists
0030-FNXPP,59.550000000000004,19.85,3,0,Month-to-month,Low,0,Champions
0031-PVLZI,81.4,20.35,4,1,Month-to-month,Low,0,Champions
0032-PGELS,30.5,30.5,1,1,Month-to-month,Low,0,Champions
0036-IHMOT,5703.5,103.7,55,0,One year,High,3,New & Unstable
0040-HALCW,1101.6,20.4,54,0,Two year,Low,2,Price-Sensitive
0042-JVWOJ,509.6,19.6,26,0,One year,Low,0,Champions
0042-RLHYP,1359.3,19.7,69,0,Two year,Low,2,Price-Sensitive
0048-LUMLS,3374.4,91.2,37,0,One year,High,1,At-Risk Loyalists
0048-PIHNL,1002.05,20.45,49,0,One year,Low,2,Price-Sensitive
0052-DCKON,7642.8,115.8,66,0,One year,High,3,New & Unstable
0052-YNYOT,1376.8500000000001,20.55,67,0,One year,Low,2,Price-Sensitive
0056-EPFBG,788.0,39.4,20,0,Two year,Low,0,Champions
0057-QBUQH,1079.3,25.099999999999998,43,0,Two year,Low,2,Price-Sensitive
0058-EVZWM,4939.0,89.8,55,0,Month-to-month,High,3,New & Unstable
0060-FUALY,5590.25,94.75,59,0,Month-to-month,High,3,New & Unstable
0064-SUDOG,243.60000000000002,20.3,12,0,Two year,Low,0,Champions
0064-YIJGF,2045.25,75.75,27,0,Month-to-month,High,1,At-Risk Loyalists
0067-DKWBL,98.5,49.25,2,1,Month-to-month,Medium,0,Champions
0068-FIGTF,2111.4,78.2,27,0,One year,High,1,At-Risk Loyalists
0071-NDAFP,637.5,25.5,25,0,Two year,Low,0,Champions
0074-HDKDG,1540.0,61.6,25,0,One year,Medium,1,At-Risk Loyalists
0076-LVEPS,1305.0,45.0,29,0,Month-to-month,Medium,0,Champions
0078-XZMHT,6130.8,85.15,72,0,Two year,High,3,New & Unstable
0080-EMYVY,720.3000000000001,51.45,14,0,One year,Medium,0,Champions
0080-OROZO,3473.75,99.25,35,0,One year,High,3,New & Unstable
0082-LDZUE,44.3,44.3,1,0,Month-to-month,Medium,0,Champions
0082-OQIQY,2731.8,94.2,29,0,Month-to-month,High,1,At-Risk Loyalists
0083-PIVIK,5200.0,81.25,64,0,One year,High,3,New & Unstable
0089-IIQKO,3898.05,99.95,39,0,Month-to-month,High,3,New & Unstable
0093-EXYQL,3662.0,91.55,40,0,Month-to-month,High,3,New & Unstable
0093-XWZFY,4180.0,104.5,40,1,Month-to-month,High,3,New & Unstable
0094-OIFMO,1045.0,95.0,11,1,Month-to-month,High,1,At-Risk Loyalists
0096-BXERS,302.1,50.35,6,0,Month-to-month,Medium,0,Champions
0096-FCPUF,1935.0,64.5,30,0,Month-to-month,Medium,1,At-Risk Loyalists
0098-BOWSO,523.8,19.4,27,0,Month-to-month,Low,0,Champions
0100-DUVFC,7336.0,104.8,70,0,One year,High,3,New & Unstable
0103-CSITQ,6235.8,109.4,57,0,One year,High,3,New & Unstable
0104-PPXDV,2917.3999999999996,50.3,58,0,One year,Medium,2,Price-Sensitive
0106-GHRQR,1142.4,71.4,16,0,Month-to-month,High,1,At-Risk Loyalists
0106-UGRDO,8004.0,116.0,69,0,Two year,High,3,New & Unstable
0107-WESLM,19.85,19.85,1,1,Month-to-month,Low,0,Champions
0107-YHINA,99.75,99.75,1,1,Month-to-month,High,1,At-Risk Loyalists
0111-KLBQG,3006.4,93.95,32,0,Month-to-month,High,1,At-Risk Loyalists
0112-QAWRZ,1452.8,90.8,16,0,Month-to-month,High,1,At-Risk Loyalists
0112-QWPNC,4133.15,84.35,49,1,One year,High,3,New & Unstable
0114-IGABW,4135.75,58.25,71,0,Two year,Medium,3,New & Unstable
0114-PEGZZ,3549.15,107.55,33,0,Month-to-month,High,3,New & Unstable
0114-RSRRW,199.5,19.95,10,0,Month-to-month,Low,0,Champions
0115-TFERT,2335.2000000000003,111.20000000000002,21,1,Month-to-month,High,1,At-Risk Loyalists
0117-LFRMW,1487.4,40.2,37,1,Month-to-month,Medium,2,Price-Sensitive
0118-JPNOY,2230.7999999999997,85.79999999999998,26,0,Month-to-month,High,1,At-Risk Loyalists
0121-SNYRK,1770.0,35.4,50,0,One year,Low,2,Price-Sensitive
